subj,exp_id,ses_id,stim,timestamp,x,y,duration,sacc_amplitude,sacc_dur
P06,1,1,tsq01,0.525686,461.886171,1080.000000,0.115110,1058.968442,0.328593
P06,1,1,tsq01,0.969389,872.467292,103.866144,1.954923,316.408152,0.065701
P06,1,1,tsq01,2.990013,747.489969,394.546015,0.213519,360.184284,0.049384
P06,1,1,tsq01,3.252916,777.656084,753.464842,0.312104,292.996887,0.016340
P06,1,1,tsq01,3.581360,1042.082400,879.662700,0.279368,233.114905,0.016323
P06,1,1,tsq01,3.877051,888.838190,703.996052,1.248617,307.120707,0.049214
P06,1,1,tsq01,5.174882,1177.340509,598.689164,0.180860,462.003945,0.262742
P06,1,1,tsq01,5.618484,1237.929600,140.675400,0.032907,437.807553,0.032768
P06,1,1,tsq01,5.684159,1170.143127,573.203373,0.361620,303.698692,0.016251
P06,1,1,tsq01,6.062030,867.381333,549.366600,0.147879,592.412650,0.049236
P06,1,1,tsq01,6.259145,1320.531692,930.952108,0.213614,446.357857,0.049408
P06,1,1,tsq01,6.522167,874.251370,939.271404,1.034944,720.717758,0.065627
P06,1,1,tsq01,7.622738,618.114941,265.603670,0.607859,665.333447,0.065782
P06,1,1,tsq01,8.296379,1283.446400,267.229800,0.295751,208.030357,0.032735
P06,1,1,tsq01,8.624865,1491.306933,258.825750,0.591438,1175.366731,0.082342
P06,1,1,tsq01,9.298645,316.132800,280.102725,0.262794,594.479780,0.065541
P06,1,1,tsq01,9.626980,641.292248,777.774848,0.476546,503.318118,0.065658
P06,1,1,tsq01,10.169184,894.408000,342.732845,0.624339,384.035996,0.032696
P06,1,1,tsq01,10.826219,985.841143,715.725643,0.230091,243.684227,0.262864
P06,1,1,tsq01,11.319174,1164.220800,549.705462,0.213523,475.709338,0.328547
P06,1,1,tsq01,11.861244,774.886286,823.051414,1.166439,0.000000,0.328547
P06,1,1,tsq02,0.147870,622.289800,137.704387,0.788508,282.995499,0.032884
P06,1,1,tsq02,0.969262,676.974080,415.366200,0.246415,332.104610,0.016428
P06,1,1,tsq02,1.232105,983.953600,288.649800,0.295650,504.216722,0.065751
P06,1,1,tsq02,1.593506,509.503825,117.969066,1.199247,406.711419,0.443534
P06,1,1,tsq02,3.236287,568.486683,520.380796,1.856396,831.212764,0.082204
P06,1,1,tsq02,5.174887,1299.179828,916.615812,4.813491,595.792318,0.016344
P06,1,1,tsq02,10.004722,881.878400,491.377050,0.394300,586.921732,0.049372
P06,1,1,tsq02,10.448394,363.308883,216.490208,1.264960,486.487194,0.065761
P06,1,1,tsq02,11.779115,475.377600,689.893200,0.246330,435.876401,0.032909
P06,1,1,tsq02,12.058354,423.857629,257.072302,1.806999,769.779868,0.049347
P06,1,1,tsq02,13.914700,1190.373771,327.882246,2.842143,601.204123,0.032904
P06,1,1,tsq02,16.789747,608.191767,477.917280,0.903449,668.965122,0.082074
P06,1,1,tsq02,17.775270,1247.126214,676.101810,1.922224,918.567855,0.049288
P06,1,1,tsq02,19.746782,366.153600,936.205941,0.279233,1190.969482,0.098610
P06,1,1,tsq02,20.124625,1556.436923,895.784192,0.427182,564.844786,0.032775
P06,1,1,tsq02,20.584582,1567.344619,331.044735,0.509277,547.434412,0.049312
P06,1,1,tsq02,21.143171,1057.027200,132.901941,0.279402,855.395336,0.312001
P06,1,1,tsq02,21.734574,204.180185,198.880338,0.213462,660.637574,0.065752
P06,1,1,tsq02,22.013788,411.334010,826.199473,0.673612,705.000643,0.065680
P06,1,1,tsq02,22.753080,483.098880,124.860960,0.164368,712.425008,0.065649
P06,1,1,tsq02,22.983097,1181.167517,267.161943,0.870684,670.851817,0.016451
P06,1,1,tsq02,23.870232,1474.787896,870.344530,0.377876,127.591633,0.016472
P06,1,1,tsq02,24.264580,1589.587200,814.660200,0.016376,0.000000,0.016472
