subj,exp_id,ses_id,stim,timestamp,K
P09,1,1,tsa02,1.757550,-1.800328
P09,1,1,tsa02,2.069817,1.177180
P09,1,1,tsa02,2.562583,0.356934
P09,1,1,tsa02,2.595508,0.356934
P09,1,1,tsa03,0.032876,-0.004976
P09,1,1,tsa03,0.591403,-0.083293
P09,1,1,tsa03,2.579266,-0.786444
P09,1,1,tsa03,3.351427,2.980236
P09,1,1,tsa03,5.700615,0.659468
P09,1,1,tsa03,6.439893,-1.046250
P09,1,1,tsa03,7.327085,0.029667
P09,1,1,tsa03,7.425578,-0.850238
P09,1,1,tsa03,8.723451,-0.850238
P09,1,1,tsq01,0.049328,0.204210
P09,1,1,tsq01,0.525643,-1.535110
P09,1,1,tsq01,0.772117,1.742008
P09,1,1,tsq01,3.137823,2.771553
P09,1,1,tsq01,4.534146,0.815673
P09,1,1,tsq01,5.815583,-0.417986
P09,1,1,tsq01,6.078514,-0.401689
P09,1,1,tsq01,6.374129,1.126482
P09,1,1,tsq01,7.277573,-2.558119
P09,1,1,tsq01,7.622651,-0.886987
P09,1,1,tsq01,8.296253,-0.886987
P09,1,1,tsq02,0.049175,2.902869
P09,1,1,tsq02,1.790549,0.260352
P09,1,1,tsq02,2.924049,-0.859445
P09,1,1,tsq02,3.154078,-0.103714
P09,1,1,tsq02,4.057625,-2.243473
P09,1,1,tsq02,4.501155,0.925308
P09,1,1,tsq02,4.763949,0.315719
P09,1,1,tsq02,5.651128,0.315719
P09,1,1,tsq03,0.048676,1.172313
P09,1,1,tsq03,1.001586,-1.265064
P09,1,1,tsq03,1.313867,-0.095333
P09,1,1,tsq03,1.510780,2.105184
P09,1,1,tsq03,3.203003,0.039253
P09,1,1,tsq03,4.221466,-0.670226
P09,1,1,tsq03,4.402239,-1.891517
P09,1,1,tsq03,4.681459,2.959761
P09,1,1,tsq03,6.406436,0.214291
P09,1,1,tsq03,6.505049,0.295294
P09,1,1,tsq03,7.063559,0.863468
P09,1,1,tsq03,7.490699,-2.677837
P09,1,1,tsq03,7.720690,-0.311013
P09,1,1,tsq03,8.722882,0.592174
P09,1,1,tsq03,9.166409,-0.965692
P09,1,1,tsq03,9.330732,0.732922
P09,1,1,tsq03,9.379964,-1.044582
P09,1,1,tsq03,9.593555,0.809180
P09,1,1,tsq03,9.642851,0.809180
P10,1,1,tsa01,0.049300,0.823164
P10,1,1,tsa01,0.969210,-0.233827
P10,1,1,tsa01,1.314228,-0.499187
P10,1,1,tsa01,1.560781,-0.377439
P10,1,1,tsa01,1.856399,-0.061659
P10,1,1,tsa01,2.414941,-0.881977
P10,1,1,tsa01,3.055553,1.345973
P10,1,1,tsa01,3.827707,1.386657
P10,1,1,tsa01,4.813424,-1.560419
P10,1,1,tsa01,5.306259,-0.144549
P10,1,1,tsa01,6.472729,-0.698256
P10,1,1,tsa01,7.491217,-1.776362
P10,1,1,tsa01,8.526191,-0.189748
P10,1,1,tsa01,8.953313,-0.189748
P10,1,1,tsa02,0.049318,-0.331573
P10,1,1,tsa02,0.279323,0.350979
P10,1,1,tsa02,0.870745,-0.373153
P10,1,1,tsa02,1.330688,2.018413
P10,1,1,tsa02,2.283608,-0.568813
P10,1,1,tsa02,2.940611,-1.309678
P10,1,1,tsa02,3.630668,-1.309678
P10,1,1,tsa03,0.049332,1.315230
P10,1,1,tsa03,0.640766,2.671213
P10,1,1,tsa03,1.314405,-2.555251
P10,1,1,tsa03,1.626504,-1.539311
P10,1,1,tsa03,2.004316,-1.539311
P10,1,1,tsq01,0.049279,2.550616
P10,1,1,tsq01,1.034997,-1.578479
P10,1,1,tsq01,1.363537,-0.042025
P10,1,1,tsq01,1.609978,0.118100
P10,1,1,tsq01,1.955025,-2.625842
P10,1,1,tsq01,2.234168,-0.068915
P10,1,1,tsq01,2.546254,0.042894
P10,1,1,tsq01,2.940602,1.285900
P10,1,1,tsq01,3.679869,0.085971
P10,1,1,tsq01,3.959291,-3.018132
P10,1,1,tsq01,4.238524,-1.085060
P10,1,1,tsq01,4.451982,2.293534
P10,1,1,tsq01,5.519817,0.664758
P10,1,1,tsq01,6.029198,0.900458
P10,1,1,tsq01,6.866918,-1.430169
P10,1,1,tsq01,7.097084,1.945425
P10,1,1,tsq01,8.017012,0.384440
P10,1,1,tsq01,8.296275,0.347126
P10,1,1,tsq01,8.591934,0.130503
P10,1,1,tsq01,8.854784,1.184132
P10,1,1,tsq01,9.955573,-3.528491
P10,1,1,tsq01,10.201979,0.205653
P10,1,1,tsq01,10.924805,-0.126558
